Designator,Mid X,Mid Y,Rotation,Layer
BT1,136.56,-74.329325,0.0,top
D1,129.69875,-45.24375,0.0,top
D2,122.555,-109.5375,0.0,top
D3,139.22375,-109.5375,0.0,top
D4,153.51125,-109.5375,0.0,top
D5,174.9425,-66.675,0.0,top
D6,144.145,-45.24375,0.0,top
M1,176.2125,-77.31125,0.0,top
R1,129.54,-38.1,0.0,top
R2,121.44375,-119.0625,0.0,top
R3,138.98125,-119.0625,0.0,top
R4,154.78125,-119.0625,0.0,top
R5,186.69,-66.675,0.0,top
R6,145.25625,-38.1,0.0,top
R7,131.65,-54.76875,0.0,top
R8,143.55625,-54.76875,0.0,top
RV1,163.03625,-66.675,0.0,top
RV2,163.195,-78.4225,0.0,top
SW2,121.44375,-95.25,0.0,top
SW3,138.1125,-95.25,0.0,top
SW4,154.78125,-95.25,0.0,top
